# Frequency(THz) spec_cv(J/Kg.K.THz) cum_cv(J/Kg.K)
2.983952 9.389006 236.301667
2.987952 9.354279 236.538030
2.991952 9.316803 236.773582
2.995952 9.274872 237.008204
2.999952 9.232310 237.241843
3.003952 9.193314 237.474405
3.007952 9.147240 237.705941
3.011952 9.102745 237.936452
3.015952 9.060014 238.165785
3.019952 9.024141 238.394021
3.023952 8.991506 238.621258
3.027952 8.949586 238.847650
3.031951 8.910369 239.073124
3.035951 8.878448 239.297472
3.039951 8.846244 239.520998
3.043951 8.815346 239.743749
3.047951 8.782926 239.965689
3.051951 8.748826 240.186844
3.055951 8.712347 240.407158
3.059951 8.672343 240.626588
3.063951 8.636529 240.845058
3.067951 8.608887 241.062543
3.071951 8.585595 241.279238
3.075951 8.553687 241.495309
3.079951 8.516454 241.710706
3.083951 8.488846 241.925220
3.087951 8.469270 242.138895
3.091951 8.442541 242.351983
3.095950 8.420083 242.564518
3.099950 8.393818 242.776334
3.103950 8.371346 242.987632
3.107950 8.351947 243.198285
3.111950 8.326524 243.408430
3.115950 8.301176 243.618050
3.119950 8.274519 243.826999
3.123950 8.245530 244.035301
3.127950 8.216005 244.242903
3.131950 8.190693 244.449762
3.135950 8.167611 244.655926
3.139950 8.146579 244.861490
3.143950 8.119142 245.066496
3.147950 8.092197 245.270928
3.151950 8.068034 245.474645
3.155950 8.036679 245.677710
3.159949 8.004459 245.880102
3.163949 7.974649 246.081620
3.167949 7.951698 246.282414
3.171949 7.922802 246.482527
3.175949 7.885325 246.682024
3.179949 7.855728 246.880698
3.183949 7.838839 247.078490
3.187949 7.820736 247.275677
3.191949 7.792675 247.472463
3.195949 7.762840 247.668706
3.199949 7.740427 247.864186
3.203949 7.714264 248.058971
3.207949 7.698168 248.253189
3.211949 7.681595 248.446817
3.215949 7.657552 248.640086
3.219948 7.633955 248.832873
3.223948 7.620945 249.024983
3.227948 7.607557 249.216638
3.231948 7.579707 249.408006
3.235948 7.548376 249.598915
3.239948 7.516194 249.789027
3.243948 7.488591 249.978330
3.247948 7.454535 250.166877
3.251948 7.426775 250.354694
3.255948 7.405506 250.541685
3.259948 7.392920 250.728059
3.263948 7.376495 250.914003
3.267948 7.351835 251.099635
3.271948 7.314906 251.284734
3.275948 7.285865 251.469076
3.279948 7.270048 251.652538
3.283947 7.250952 251.835414
3.287947 7.226309 252.017852
3.291947 7.201518 252.199795
3.295947 7.176305 252.381101
3.299947 7.150059 252.561779
3.303947 7.129544 252.741812
3.307947 7.109946 252.921228
3.311947 7.088843 253.100165
3.315947 7.071403 253.278601
3.319947 7.049649 253.456536
3.323947 7.022063 253.634012
3.327947 6.998492 253.810854
3.331947 6.978743 253.987013
3.335947 6.956347 254.162648
3.339947 6.931608 254.337781
3.343946 6.916222 254.512307
3.347946 6.893504 254.686236
3.351946 6.864768 254.859790
3.355946 6.835965 255.032691
3.359946 6.805213 255.204860
3.363946 6.777208 255.376288
3.367946 6.750580 255.546964
3.371946 6.733191 255.716959
3.375946 6.718328 255.886382
3.379946 6.701846 256.055427
3.383946 6.675974 256.224073
3.387946 6.650814 256.392220
3.391946 6.622824 256.559688
3.395946 6.596137 256.726503
3.399946 6.571219 256.892614
3.403946 6.544806 257.058076
3.407945 6.520584 257.222899
3.411945 6.501321 257.387031
3.415945 6.489210 257.550658
3.419945 6.470417 257.713883
3.423945 6.446104 257.876752
3.427945 6.434205 258.039075
3.431945 6.416559 258.200908
3.435945 6.391571 258.362445
3.439945 6.369080 258.523412
3.443945 6.349110 258.683742
3.447945 6.320723 258.843558
3.451945 6.294790 259.002812
3.455945 6.271863 259.161338
3.459945 6.243992 259.319248
3.463945 6.216587 259.476537
3.467945 6.195274 259.633109
3.471944 6.178439 259.789068
3.475944 6.161197 259.944516
3.479944 6.133677 260.099582
3.483944 6.101010 260.254126
3.487944 6.072025 260.407882
3.491944 6.049784 260.560827
3.495944 6.022786 260.713140
3.499944 5.998009 260.864882
3.503944 5.972025 261.015935
3.507944 5.947580 261.166365
3.511944 5.917357 261.316148
3.515944 5.893851 261.465275
3.519944 5.873791 261.613684
3.523944 5.858681 261.761561
3.527944 5.836539 261.908985
3.531943 5.810222 262.055991
3.535943 5.783464 262.202321
3.539943 5.755529 262.348004
3.543943 5.723030 262.493010
3.547943 5.696095 262.637271
3.551943 5.679516 262.780756
3.555943 5.660583 262.923674
3.559943 5.636954 263.066183
