Frequency (THz), Spectral Heat Capacity (J/Kg/K/THz), Cumulative Heat Capacity (J/Kg/K)
1.175980999999999943e+00,1.709969500000000053e+01,7.136206199999999455e+01
1.179980999999999947e+00,1.711148000000000025e+01,7.179194800000000498e+01
1.183980999999999950e+00,1.711977699999999913e+01,7.222181500000000653e+01
1.187980999999999954e+00,1.712982799999999983e+01,7.265203599999999540e+01
1.191980999999999957e+00,1.714042099999999991e+01,7.308242500000000064e+01
1.195980999999999961e+00,1.713533699999999982e+01,7.351307900000000473e+01
1.199980999999999964e+00,1.711601399999999984e+01,7.394383399999999540e+01
1.203980999999999968e+00,1.710305800000000076e+01,7.437427599999999472e+01
1.207980999999999971e+00,1.711360900000000029e+01,7.480427199999999743e+01
1.211980999999999975e+00,1.712880200000000031e+01,7.523416600000000187e+01
1.215980999999999979e+00,1.713887899999999931e+01,7.566445899999999369e+01
1.219980000000000064e+00,1.714857599999999849e+01,7.609511100000000283e+01
1.223980000000000068e+00,1.717776699999999934e+01,7.652587300000000425e+01
1.227980000000000071e+00,1.719270699999999863e+01,7.695714800000000366e+01
1.231980000000000075e+00,1.719067599999999985e+01,7.738908999999999594e+01
1.235980000000000079e+00,1.720334499999999878e+01,7.782120500000000618e+01
1.239980000000000082e+00,1.721834099999999879e+01,7.825338299999999947e+01
1.243980000000000086e+00,1.722574499999999986e+01,7.868595899999999688e+01
1.247980000000000089e+00,1.722929399999999944e+01,7.911881200000000547e+01
1.251980000000000093e+00,1.722664199999999823e+01,7.955178700000000447e+01
1.255980000000000096e+00,1.721669699999999992e+01,7.998478699999999719e+01
1.259980000000000100e+00,1.719934500000000099e+01,8.041763199999999756e+01
1.263980000000000103e+00,1.717775299999999916e+01,8.085013200000000211e+01
1.267980000000000107e+00,1.717089299999999952e+01,8.128212999999999511e+01
1.271980000000000111e+00,1.715577299999999994e+01,8.171373699999999474e+01
1.275979999999999892e+00,1.712857500000000144e+01,8.214516399999999408e+01
1.279979999999999896e+00,1.708283499999999933e+01,8.257601900000000228e+01
1.283978999999999981e+00,1.706352499999999850e+01,8.300598399999999799e+01
1.287978999999999985e+00,1.703226300000000037e+01,8.343491799999999614e+01
1.291978999999999989e+00,1.699449600000000160e+01,8.386348300000000222e+01
1.295978999999999992e+00,1.696394099999999838e+01,8.429108999999999696e+01
1.299978999999999996e+00,1.692950899999999947e+01,8.471778000000000475e+01
1.303978999999999999e+00,1.690291900000000069e+01,8.514370599999999456e+01
1.307979000000000003e+00,1.686680099999999882e+01,8.556881599999999821e+01
1.311979000000000006e+00,1.683234600000000114e+01,8.599319900000000416e+01
1.315979000000000010e+00,1.682268499999999989e+01,8.641664799999999502e+01
1.319979000000000013e+00,1.682045899999999961e+01,8.683951700000000073e+01
1.323979000000000017e+00,1.681092399999999998e+01,8.726230999999999938e+01
1.327979000000000021e+00,1.677524599999999921e+01,8.768495000000000061e+01
1.331979000000000024e+00,1.673637199999999936e+01,8.810710100000000011e+01
1.335979000000000028e+00,1.672372999999999976e+01,8.852822700000000111e+01
1.339979000000000031e+00,1.671264299999999992e+01,8.894858200000000181e+01
1.343977999999999895e+00,1.668911299999999898e+01,8.936875299999999811e+01
1.347977999999999899e+00,1.665216500000000011e+01,8.978844200000000342e+01
1.351977999999999902e+00,1.663303099999999901e+01,9.020744899999999689e+01
1.355977999999999906e+00,1.663255300000000148e+01,9.062561999999999784e+01
1.359977999999999909e+00,1.661709600000000009e+01,9.104360900000000356e+01
1.363977999999999913e+00,1.658556400000000153e+01,9.146153800000000444e+01
1.367977999999999916e+00,1.654781300000000144e+01,9.187880900000000395e+01
1.371977999999999920e+00,1.651887100000000075e+01,9.229516800000000387e+01
1.375977999999999923e+00,1.651193100000000058e+01,9.271067700000000400e+01
1.379977999999999927e+00,1.648025900000000021e+01,9.312568100000000015e+01
1.383977999999999930e+00,1.645385399999999976e+01,9.354032499999999573e+01
1.387977999999999934e+00,1.643774399999999858e+01,9.395411300000000665e+01
1.391977999999999938e+00,1.641525999999999996e+01,9.436741999999999564e+01
1.395977999999999941e+00,1.637157699999999849e+01,9.478031099999999753e+01
1.399977999999999945e+00,1.633072800000000058e+01,9.519236700000000440e+01
1.403977999999999948e+00,1.628901400000000166e+01,9.560326000000000590e+01
1.407977000000000034e+00,1.623406299999999902e+01,9.601317299999999477e+01
1.411977000000000038e+00,1.618272899999999836e+01,9.642182200000000591e+01
1.415977000000000041e+00,1.613652400000000142e+01,9.682917600000000391e+01
1.419977000000000045e+00,1.611538600000000088e+01,9.723529800000000023e+01
1.423977000000000048e+00,1.610943200000000175e+01,9.764053499999999985e+01
1.427977000000000052e+00,1.609883400000000009e+01,9.804547300000000121e+01
1.431977000000000055e+00,1.607621999999999929e+01,9.845022299999999404e+01
1.435977000000000059e+00,1.605746299999999849e+01,9.885458699999999510e+01
1.439977000000000062e+00,1.604090000000000060e+01,9.925838299999999492e+01
1.443977000000000066e+00,1.603327300000000122e+01,9.966174200000000383e+01
1.447977000000000070e+00,1.603180300000000003e+01,1.000647790000000015e+02
1.451977000000000073e+00,1.602916499999999900e+01,1.004677140000000009e+02
1.455977000000000077e+00,1.603660700000000006e+01,1.008706059999999951e+02
1.459977000000000080e+00,1.602210399999999879e+01,1.012735119999999966e+02
1.463977000000000084e+00,1.601873900000000006e+01,1.016764199999999931e+02
1.467977000000000087e+00,1.601146699999999967e+01,1.020789639999999991e+02
1.471975999999999951e+00,1.599846400000000024e+01,1.024814760000000007e+02
1.475975999999999955e+00,1.596913499999999964e+01,1.028836399999999998e+02
1.479975999999999958e+00,1.595885099999999923e+01,1.032853900000000067e+02
1.483975999999999962e+00,1.592957299999999954e+01,1.036864949999999936e+02
